year,nuclear tests,military spending (billions),ford production
1945,1,$962.70,300000
1946,2,$556.90,468022
1947,0,$52.40,429674
1948,3,$103.90,430198
1949,0,$144.20,1118308
1950,0,$141.20,1208912
1951,16,$224.30,1013381
1952,10,$402.10,671733
1953,11,$442.30,1247542
1954,6,$420.90,1165942
1955,18,$376.90,1451157
1956,18,$356.20,1408478
1957,32,$360.90,1676449
1958,77,$352.90,987945
1959,0,$352.50,1450953
1960,49,$344.30,1439370
1961,11,$344.00,1338790
1962,96,$363.40,1476031
1963,47,$368.00,1525404
1964,45,$364.40,1594053
1965,38,$333.10,2170795
1966,48,$356.20,2212415
1967,42,$412.00,1730224
1968,56,$449.30,1753334
1969,46,$438.10,1826777
1970,39,$406.30,2096184
1971,24,$370.60,2054351
1972,27,$343.80,2246563
1973,24,$313.30,2349815
1974,22,$299.70,2179791
1975,22,$293.30,1569608
1976,20,$283.80,1861537
1977,20,$286.20,1840427
1978,19,$286.50,1923655
1979,15,$295.60,1835937
1980,14,$303.40,1162275
1981,16,$317.40,950301
1982,18,$339.40,748732
1983,18,$366.70,916583
1984,18,$381.70,1180708
1985,17,$405.40,1149427
1986,14,$426.60,1253525
1987,14,$427.90,1176775
1988,15,$426.40,1331489
1989,11,$427.70,1234954
1990,8,$409.70,912466
1991,7,$358.10,900000
1992,6,$379.50,922488
1993,0,$358.60,1026338
1994,0,$338.60,1220512
1995,0,$321.60,1012818
1996,0,$307.40,1036048
1997,2,$305.30,913440
1998,3,$296.70,878405
1999,3,$298.40,918040
2000,5,$311.70,965029
2001,2,$307.80,1053889
2002,3,$328.70,998736
2003,2,$404.91,865559
2004,0,$455.91,760909
2005,0,$495.30,735048
2006,1,$535.90,700341
